COUNTY,STATE_ABBR,prop_damage
 BATON ROUGE ,LA,49690000
 BAY ,FL,500000000
 BROWARD ,FL,0
 BRUNSWICK ,NC,200000
 CAMERON ,LA,750000000
 CAMERON ,TX,367500000
 CARROLL ,LA,350000
 CARTERET ,NC,0
 CHARLOTTE ,FL,18000000
 CHATHAM ,GA,0
 COLLIER ,FL,0
 COLLIER COUNTY ,FL,222500000
 CURRITUCK ,NC,550000
 DADE ,FL,0
 DARE ,NC,5000000
 FELICIANA ,LA,1369500
 FRANKLIN ,FL,150704000
 FULTON ,GA,0
 GEORGETOWN ,SC,68000000
 GULF ,FL,200000000
 HALEAKALA ,HI,0
 HILLSBOROUGH ,FL,13950000
 HORRY ,SC,134040000
 HYDE ,NC,5000000
 JASPER ,TX,140000000
 JEFFERSON ,FL,682000
 JEFFERSON ,LA,39570000
 KENEDY COUNTY ,TX,0
 KLEBERG COUNTY ,TX,0
 LAFOURCHE ,LA,69400000
 LEE ,FL,326280000
 MANATEE ,FL,18300000
 MIAMI-DADE ,FL,0
 NEW HANOVER ,NC,1000000000
 NEWTON ,TX,210000000
 OUTER BANKS ,NC,0
 PALM BEACH ,FL,10000000000
 PASCO ,FL,7000000
 PENDER ,NC,300000000
 PLAQUEMINES ,LA,40240000
 SARASOTA ,FL,10730000
 ST. BERNARD ,LA,57790000
 ST. MARTIN ,LA,62000000
 TANGIPAHOA ,LA,4600000
 TAYLOR ,FL,906000
 TERREBONNE ,LA,62350000
 WAKULLA ,FL,201200000
 WILLACY ,TX,20727600
ACADIA ,LA,510000000
ADAMS ,MS,60000
ALLEN ,LA,408000000
AMITE ,MS,250000
ANGELINA ,TX,0
ARANSAS ,TX,1750000000
ASCENSION ,LA,7855000
ASHLEY ,AR,200000
ASSUMPTION ,LA,16254000
AVOYELLES ,LA,21000000
BAKER ,GA,50000000
BALDWIN  ,AL,234480000
BARTOW ,GA,0
BEAUFORT ,NC,10000000
BEAUREGARD ,LA,1005200000
BEE ,TX,10000
BIENVILLE ,LA,0
BLECKLEY ,GA,0
BOLIVAR ,MS,10000
BOSSIER ,LA,0
BRAZORIA ,TX,700500000
BREVARD ,FL,75000000
CADDO ,LA,0
CALCASIEU ,LA,8000200000
CALHOUN ,FL,500000000
CALHOUN ,GA,50000000
CALHOUN ,TX,250000000
CAMDEN ,NC,500000
CAMERON ,LA,2770000000
CARROLL ,GA,0
CARROLL ,MS,10000
CARTERET ,NC,127800000
CATAHOULA ,LA,500000
CATOOSA ,GA,0
CHAMBERS ,TX,8500000
CHATTOOGA ,GA,0
CHEROKEE ,GA,0
CHEROKEE ,TX,750000
CHICOT ,AR,150000
CLAIBORNE ,LA,0
CLAIBORNE ,MS,40000
CLAYTON ,GA,0
COBB ,GA,0
CONCORDIA ,LA,500000
COPIAH ,MS,20000
COWETA ,GA,0
CRAVEN ,NC,38000000
CRISP ,GA,0
DADE ,GA,0
DAWSON ,GA,0
DE KALB ,GA,0
DE SOTO ,FL,0
DE SOTO ,LA,0
DE WITT ,TX,100000
DECATUR ,GA,300000000
DODGE ,GA,0
DOOLY ,GA,0
DOUGHERTY ,GA,300000000
DOUGLAS ,GA,0
EARLY ,GA,150000000
ERN CURRITUCK ,NC,600000
ERN DARE ,NC,10670000
ERN HYDE ,NC,10000000
ESCAMBIA  ,FL,0
